SiteID	5958154021_R01C01	5958154021_R02C01	5958154021_R03C01	5958154021_R04C01	5958154021_R05C01	5958154021_R06C01
cg21615397	0.93929	0.92865	0.94527	0.96301	0.93659	0.92979
cg23507796	0.88710	0.95159	0.84932	0.82562	0.85831	0.88986
cg23757461	0.90491	0.91425	0.94387	0.95261	0.96026	0.94558
cg24675664	0.04667	0.05262	0.04755	0.01960	0.05153	0.05196
cg25693302	0.01524	0.00833	0.00140	0.97619	0.96874	0.97393
cg26034769	0.80150	0.73370	0.77193	0.90230	0.88616	0.89240
cg26938118	0.90217	0.90296	0.93264	0.92515	0.93210	0.93173	
cg27105827	0.02836	0.03086	0.04215	0.92293	0.92315	0.88642
cg27337209	0.92605	0.92186	0.92441	0.91446	0.91725	0.94259
cg00159523	0.01249	0.00594	0.00850	0.96065	0.96879	0.96479
cg00831931	0.86726	0.87634	0.85451	0.86463	0.84713	0.87135
cg00919118	0.93898	0.95950	0.94310	0.94796	0.93706	0.94726
cg01604628	0.89842	0.93003	0.94036	0.92596	0.92760	0.92965
cg02528953	0.90289	0.91857	0.90282	0.92270	0.90514	0.91997
cg03089923	0.91547	0.91469	0.94150	0.89660	0.91194	0.91962
cg03339956	0.74528	0.75258	0.75597	0.77750	0.77278	0.80775
cg03384318	0.94243	0.96774	0.97903	0.97999	0.98171	0.97992
cg03510732	0.87699	0.87740	0.87689	0.89761	0.88332	0.84734
cg03683087	0.93851	0.94099	0.92266	0.92599	0.94682	0.90111
cg04064032	0.19238	0.19013	0.23367	0.49217	0.49211	0.46043
cg04266779	0.08835	0.08988	0.08971	0.09072	0.09620	0.09032
cg04322596	0.93207	0.93967	0.93062	0.92928	0.93164	0.93062
cg04557665	0.03475	0.03724	0.04094	0.51411	0.55319	0.57642
cg04635277	0.92826	0.94331	0.93228	0.91100	0.92437	0.92628
cg04908472	0.91124	0.91809	0.88843	0.95581	0.91050	0.91167	
cg04953732	0.06207	0.02922	0.03592	0.01740	0.04859	0.07116
cg05316006	0.84277	0.84357	0.80421	0.87311	0.83906	0.81213
cg05923857	0.92812	0.93868	0.90096	0.93330	0.93921	0.95022	
cg06403317	0.97226	0.95837	0.94812	0.96708	0.97404	0.96350
cg07128799	0.00772	0.00872	0.02360	0.00000	0.01009	0.00802
cg07168930	0.92100	0.93082	0.90763	0.93776	0.90918	0.93989
cg07591090	0.95121	0.95041	0.93722	0.92883	0.92611	0.93568
cg07849302	0.02495	0.04554	0.02906	0.04787	0.03579	0.06468
cg07861463	0.98950	0.99238	0.99183	0.98762	0.98783	0.98393
cg08588479	0.89195	0.88439	0.89882	0.88335	0.89806	0.86857
cg08851840	0.03165	0.00262	0.00632	0.05828	0.03780	0.02897
cg08930456	0.89836	0.89238	0.89715	0.88360	0.88883	0.87387
cg09022607	0.07567	0.07702	0.09371	0.95672	0.95649	0.95489
cg09655100	0.05564	0.03167	0.02491	0.04727	0.01969	0.02359
cg09679202	0.96871	0.96113	0.94916	0.97095	0.98202	0.98021
cg09760081	0.81128	0.81199	0.84791	0.83450	0.83092	0.84401
cg10255097	0.06695	0.06684	0.07167	0.07080	0.07117	0.06268
cg10520079	0.88822	0.84938	0.87619	0.89738	0.88351	0.85397
cg10607059	0.00000	0.01908	0.01220	0.00602	0.01350	0.02384
cg10983115	0.08243	0.08573	0.08393	0.07826	0.07677	0.08438
cg11038332	0.05332	0.05243	0.04922	0.37016	0.38165	0.35312
cg11140344	0.89385	0.89809	0.89605	0.87673	0.92815	0.90381
cg11748187	0.10155	0.11276	0.11300	0.83278	0.88962	0.82449
cg12262181	0.93413	0.91610	0.91975	0.91311	0.94717	0.88378
cg12858701	0.92145	0.86787	0.93881	0.90206	0.86654	0.90430
cg13206028	0.84775	0.86476	0.87180	0.87647	0.84435	0.88540
cg13241740	0.91416	0.92300	0.96585	0.91992	0.93017	0.90897
cg14032529	0.01214	0.00813	0.00569	0.66973	0.65543	0.65506
cg14562081	0.02100	0.00488	0.02475	0.00000	0.02047	0.00000
cg14665389	0.04097	0.05938	0.05588	0.03248	0.04558	0.04359
cg14737332	0.02416	0.02397	0.01221	0.01231	0.03404	0.03318
cg15018122	0.85385	0.86131	0.88436	0.86552	0.87822	0.88367
cg15624624	0.47041	0.49961	0.50838	0.62403	0.63394	0.60024
cg15807455	0.82222	0.88234	0.84923	0.87239	0.79509	0.85475
cg15920379	0.96786	0.98516	0.97452	0.97728	0.98011	0.98227
cg16310045	0.85039	0.84626	0.85342	0.83915	0.84164	0.85139
cg16491547	0.89857	0.90635	0.90327	0.90525	0.89181	0.88044
cg17116091	0.84783	0.87969	0.86276	0.83682	0.85541	0.88998
cg17421021	0.91054	0.92831	0.94459	0.88657	0.92477	0.92744
cg17608440	0.98536	0.98913	0.99020	0.98267	0.98811	0.99027
cg18265249	0.90478	0.92282	0.95354	0.93580	0.91990	0.89055
cg18464364	0.92477	0.88893	0.91646	0.89636	0.90869	0.92288
cg18676491	0.00585	0.01066	0.00989	0.01770	0.00000	0.01115
cg18745752	0.87871	0.92113	0.89003	0.92668	0.94288	0.95820
cg18842107	0.69259	0.67954	0.60585	0.34327	0.40024	0.23872
cg18968279	0.19993	0.18053	0.18262	0.92416	0.91712	0.90686
cg19084061	0.92095	0.95002	0.91892	0.91235	0.94885	0.89051
cg19226647	0.00884	0.00000	0.00648	0.02162	0.01545	0.01072
cg19279080	0.98249	0.97514	0.98486	0.95161	0.98524	0.98534
cg19506849	0.91870	0.89247	0.89990	0.88218	0.88959	0.90830
cg20023578	0.18048	0.16200	0.09850	0.12143	0.17499	0.19487
cg20494992	0.90022	0.87973	0.86905	0.85210	0.92386	0.88722
cg22795218	0.92133	0.82423	0.79539	0.83578	0.90466	0.85604
cg23276047	0.02729	0.02619	0.02874	0.03359	0.03267	0.02984
cg23951816	0.87761	0.87631	0.88228	0.87271	0.86458	0.87987
cg24463290	0.91975	0.93348	0.93009	0.90650	0.92213	0.94067
cg24788483	0.95506	0.96574	0.95186	0.95965	0.96662	0.97195
cg24861253	0.98459	0.97770	0.98445	0.98513	0.97175	0.98653
cg26380291	0.86126	0.85374	0.84095	0.85696	0.86649	0.86001
cg26775558	0.89886	0.90887	0.90794	0.85114	0.88955	0.87280
cg27062243	0.03421	0.02118	0.02441	0.02022	0.01695	0.01613
cg27110166	0.89975	0.91752	0.92044	0.86730	0.90845	0.93485
cg27162705	0.06292	0.07634	0.07284	0.85304	0.84811	0.87514
cg27166661	0.01834	0.01582	0.02188	0.01074	0.01654	0.02934
ch.10.2414746R	0.00057	0.02576	0.00978	0.03345	0.03370	0.00856
cg01307387	0.05789	0.03526	0.04455	0.92281	0.93100	0.92342
cg02901321	0.34238	0.31693	0.34604	0.49176	0.48381	0.47590
cg04084892	0.89952	0.90689	0.88968	0.89765	0.87616	0.91816
cg04112417	0.87710	0.86408	0.86151	0.46517	0.44511	0.46352
cg05628782	0.01978	0.01898	0.01565	0.45480	0.50526	0.46691
cg07098902	0.01756	0.00745	0.01598	0.61924	0.63107	0.60292
cg07856295	0.01412	0.00000	0.00000	0.05974	0.04776	0.05039
cg08031368	0.01958	0.02064	0.01053	0.95707	0.97093	0.96946
cg10907356	0.89383	0.90128	0.91373	0.88978	0.89645	0.93169
cg10979547	0.06082	0.05894	0.06367	0.87687	0.92223	0.87171
cg11509669	0.59737	0.58579	0.56562	0.65034	0.66012	0.59033
cg12793924	0.96412	0.96476	0.97194	0.95436	0.96738	0.95712
cg14935626	0.74999	0.69698	0.74604	0.54094	0.49952	0.53894
cg15378579	0.87460	0.85690	0.86451	0.70857	0.80148	0.75179
cg17430393	0.14781	0.16406	0.18088	0.68346	0.66609	0.63508
cg18121713	0.84187	0.84557	0.89409	0.03901	0.03562	0.01430
cg18158391	0.06036	0.04897	0.07115	0.88600	0.88933	0.89181
cg18735601	0.05726	0.06063	0.06555	0.90343	0.92224	0.92105
cg19073035	0.89258	0.83270	0.88220	0.78986	0.72716	0.77322
cg19570640	0.04846	0.03320	0.05549	0.89723	0.91295	0.91158
cg20176388	0.91858	0.91131	0.92622	0.93555	0.91943	0.91260
cg21312412	0.88906	0.88729	0.88668	0.86255	0.89467	0.87077
cg21685048	0.69872	0.72387	0.75900	0.12920	0.03353	0.13084
cg21927971	0.56292	0.60996	0.57664	0.53478	0.53847	0.60876
cg23483069	0.89679	0.90561	0.90332	0.88775	0.89827	0.89657
cg23496400	0.07641	0.09349	0.12835	0.92678	0.94167	0.94990
cg24987745	0.80507	0.79804	0.78245	0.82338	0.83696	0.82576
cg25306927	0.04377	0.03975	0.05452	0.45373	0.43595	0.42160
cg27656592	0.91833	0.92346	0.89283	0.88442	0.89673	0.89808
